word,count_1996,count_2024,freq_1996,freq_2024,log_ratio_2024_vs_1996
threatens,0,1,0.00000000,0.00000334,0.000003
threats,0,6,0.00000000,0.00002003,0.000020
three,0,125,0.00000000,0.00041725,0.000417
threshold,0,2,0.00000000,0.00000668,0.000007
thresholds,0,2,0.00000000,0.00000668,0.000007
throne,0,1,0.00000000,0.00000334,0.000003
through,1,670,0.00026144,0.00223645,0.001973
throughout,0,63,0.00000000,0.00021029,0.000210
throughput,0,5,0.00000000,0.00001669,0.000017
throw,0,1,0.00000000,0.00000334,0.000003
thrust,1,4,0.00026144,0.00001335,-0.000248
thruster,0,1,0.00000000,0.00000334,0.000003
tht,0,14,0.00000000,0.00004673,0.000047
thu,0,11,0.00000000,0.00003672,0.000037
thucydidean,0,1,0.00000000,0.00000334,0.000003
thucydides,0,3,0.00000000,0.00001001,0.000010
thus,0,1,0.00000000,0.00000334,0.000003
tibbits,0,7,0.00000000,0.00002337,0.000023
tidal,1,4,0.00026144,0.00001335,-0.000248
tide,0,1,0.00000000,0.00000334,0.000003
tides,0,3,0.00000000,0.00001001,0.000010
tied,0,1,0.00000000,0.00000334,0.000003
tight,0,1,0.00000000,0.00000334,0.000003
tiktoks,0,1,0.00000000,0.00000334,0.000003
tilley,0,5,0.00000000,0.00001669,0.000017
tillie,0,1,0.00000000,0.00000334,0.000003
timber,0,1,0.00000000,0.00000334,0.000003
timbral,0,1,0.00000000,0.00000334,0.000003
time,6,310,0.00156863,0.00103478,-0.000533
timeline,0,1,0.00000000,0.00000334,0.000003
timely,0,3,0.00000000,0.00001001,0.000010
timer,0,1,0.00000000,0.00000334,0.000003
times,0,40,0.00000000,0.00013352,0.000134
timescales,0,4,0.00000000,0.00001335,0.000013
timestepping,0,1,0.00000000,0.00000334,0.000003
timing,0,8,0.00000000,0.00002670,0.000027
tin,0,1,0.00000000,0.00000334,0.000003
tinkerer,0,4,0.00000000,0.00001335,0.000013
tinuum,1,0,0.00026144,0.00000000,-0.000261
tiny,0,8,0.00000000,0.00002670,0.000027
tinyml,0,2,0.00000000,0.00000668,0.000007
tion,1,0,0.00026144,0.00000000,-0.000261
tiongco,0,24,0.00000000,0.00008011,0.000080
tions,2,0,0.00052288,0.00000000,-0.000523
tip,0,1,0.00000000,0.00000334,0.000003
tiple,1,0,0.00026144,0.00000000,-0.000261
tips,0,2,0.00000000,0.00000668,0.000007
tired,0,4,0.00000000,0.00001335,0.000013
tisdale,0,8,0.00000000,0.00002670,0.000027
tissue,1,43,0.00026144,0.00014353,-0.000118
tissues,0,27,0.00000000,0.00009013,0.000090
titanium,0,3,0.00000000,0.00001001,0.000010
title,0,4,0.00000000,0.00001335,0.000013
titration,0,2,0.00000000,0.00000668,0.000007
tivist,1,0,0.00026144,0.00000000,-0.000261
tke,0,1,0.00000000,0.00000334,0.000003
tocqueville,0,3,0.00000000,0.00001001,0.000010
todadri,0,3,0.00000000,0.00001001,0.000010
today,0,43,0.00000000,0.00014353,0.000144
todays,0,1,0.00000000,0.00000334,0.000003
todd,0,2,0.00000000,0.00000668,0.000007
toddlers,0,2,0.00000000,0.00000668,0.000007
toe,0,1,0.00000000,0.00000334,0.000003
tof,0,1,0.00000000,0.00000334,0.000003
together,0,56,0.00000000,0.00018693,0.000187
tokamaks,0,3,0.00000000,0.00001001,0.000010
tokenization,0,1,0.00000000,0.00000334,0.000003
tokens,0,2,0.00000000,0.00000668,0.000007
tokugawa,0,2,0.00000000,0.00000668,0.000007
told,0,3,0.00000000,0.00001001,0.000010
